dist,rssi
0.5,-5.4000000e+01
0.5,-5.8000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.8000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.8000000e+01
0.5,-5.9000000e+01
0.5,-5.6000000e+01
0.5,-5.8000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.8000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.6000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-6.0000000e+01
0.5,-5.9000000e+01
0.5,-5.8000000e+01
0.5,-5.6000000e+01
0.5,-5.9000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.8000000e+01
0.5,-5.8000000e+01
0.5,-5.9000000e+01
0.5,-5.8000000e+01
0.5,-5.8000000e+01
0.5,-5.6000000e+01
0.5,-6.0000000e+01
0.5,-5.8000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.6000000e+01
0.5,-5.6000000e+01
0.5,-5.8000000e+01
0.5,-6.0000000e+01
0.5,-5.8000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-6.0000000e+01
0.5,-5.8000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.6000000e+01
0.5,-5.8000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.9000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.8000000e+01
0.5,-5.8000000e+01
0.5,-5.6000000e+01
0.5,-5.6000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.6000000e+01
0.5,-5.8000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.8000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.8000000e+01
0.5,-5.8000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.8000000e+01
0.5,-5.8000000e+01
0.5,-6.0000000e+01
0.5,-5.6000000e+01
0.5,-5.7000000e+01
0.5,-5.7000000e+01
0.5,-5.4000000e+01
0.5,-5.4000000e+01
0.5,-6.0000000e+01
0.5,-5.4000000e+01
0.5,-6.0000000e+01
0.5,-5.3000000e+01
0.5,-6.0000000e+01
0.5,-5.4000000e+01
0.5,-5.9000000e+01
0.5,-5.9000000e+01
1.0,-6.3000000e+01
1.0,-6.5000000e+01
1.0,-6.5000000e+01
1.0,-6.3000000e+01
1.0,-6.4000000e+01
1.0,-6.3000000e+01
1.0,-6.3000000e+01
1.0,-6.5000000e+01
1.0,-6.3000000e+01
1.0,-6.3000000e+01
1.0,-6.2000000e+01
1.0,-6.5000000e+01
1.0,-6.2000000e+01
1.0,-6.2000000e+01
1.0,-6.2000000e+01
1.0,-6.3000000e+01
1.0,-6.5000000e+01
1.0,-6.2000000e+01
1.0,-6.2000000e+01
1.0,-5.6000000e+01
1.0,-6.2000000e+01
1.0,-6.6000000e+01
1.0,-6.6000000e+01
1.0,-6.2000000e+01
1.0,-6.6000000e+01
1.0,-6.6000000e+01
1.0,-6.2000000e+01
1.0,-6.4000000e+01
1.0,-6.2000000e+01
1.0,-6.6000000e+01
1.0,-6.4000000e+01
1.0,-6.6000000e+01
1.0,-6.6000000e+01
1.0,-6.2000000e+01
